horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
2,加州星馳,3.6,3.3,0.09,116985.92,57463.25,59522.67,1.4,1.1,0.27,215838.27,131364.75,84473.52
5,開心宇宙,6.2,7.0,-0.11,67927.31,27089.82,40837.49,2.1,2.6,-0.19,143892.18,55577.39,88314.79
13,風起雲湧,7.7,8.3,-0.07,54694.71,22846.83,31847.88,2.9,3.2,-0.09,104197.78,45156.63,59041.15
7,有派頭,7.2,6.8,0.06,58492.96,27886.58,30606.38,3.4,3.7,-0.08,88874.58,39054.39,49820.19
3,本領輝煌,12.0,13.0,-0.08,35095.77,14586.82,20508.95,3.4,3.6,-0.06,88874.58,40139.23,48735.35
8,森林之王,12.0,11.0,0.09,35095.77,17238.97,17856.8,4.2,4.5,-0.07,71946.09,32111.38,39834.71
14,十力,16.0,15.0,0.07,26321.83,12641.91,13679.92,4.5,4.8,-0.06,67149.68,30104.42,37045.26
6,蜜蜜送,16.0,15.0,0.07,26321.83,12641.91,13679.92,4.9,5.1,-0.04,61668.08,28333.57,33334.51
11,精明選擇,21.0,23.0,-0.09,20054.73,8244.73,11810.0,5.5,5.9,-0.07,54940.65,24491.73,30448.92
1,澳嘉輝,27.0,38.0,-0.29,15598.12,4990.23,10607.89,7.6,10.0,-0.24,39759.68,14450.12,25309.56
4,艾莉奧,20.0,18.0,0.11,21057.47,10534.93,10522.54,5.3,4.9,0.08,57013.88,29490.05,27523.83
10,榮耀盛甲,32.0,37.0,-0.14,13160.92,5125.1,8035.82,7.4,7.6,-0.03,40834.27,19013.32,21820.95
9,北海盜,29.0,25.0,0.16,14522.39,7585.15,6937.24,7.6,7.1,0.07,39759.68,20352.29,19407.39
12,精算特殊,40.0,35.0,0.14,10528.73,5417.96,5110.77,7.3,8.0,-0.09,41393.64,18062.65,23330.99
