horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
3,顯勝高昇,4.1,5.6,-0.27,113755.63,36711.32,77044.31,1.2,1.5,-0.2,239882.5,86126.15,153756.35
1,飛輪霸,4.4,4.2,0.05,105999.56,48948.43,57051.13,2.1,1.9,0.11,137075.71,67994.33,69081.38
8,祥勝力駒,4.8,4.0,0.2,97166.27,51395.85,45770.42,2.4,2.2,0.09,119941.25,58722.37,61218.88
9,起舞奜奜,6.9,7.1,-0.03,67593.92,28955.41,38638.51,2.4,2.5,-0.04,119941.25,51675.69,68265.56
6,鋁主角,11.0,8.8,0.25,42399.82,23361.75,19038.07,3.1,2.2,0.41,92857.74,58722.37,34135.37
2,快搏,17.0,22.0,-0.23,27435.18,9344.7,18090.48,4.9,6.0,-0.18,58746.73,21531.54,37215.19
4,快靚旺,17.0,17.0,0.0,27435.18,12093.14,15342.04,5.6,5.2,0.08,51403.39,24844.08,26559.31
5,中環精英,22.0,23.0,-0.04,21199.91,8938.41,12261.5,5.1,5.8,-0.12,56442.94,22274.0,34168.94
12,怡昌精神,22.0,22.0,0.0,21199.91,9344.7,11855.21,6.5,7.2,-0.1,44286.0,17942.95,26343.05
7,贏得自然,21.0,18.0,0.17,22209.43,11421.3,10788.13,4.8,4.0,0.2,59970.62,32297.31,27673.31
10,戰寶,27.0,25.0,0.08,17274.0,8223.34,9050.66,6.1,5.8,0.05,47190.0,22274.0,24916.0
11,快活同盟,68.0,61.0,0.11,6858.8,3370.22,3488.58,12.0,10.0,0.2,23988.25,12918.92,11069.33
