馬匹編號,馬名,完成時間
13,雷神太保,69.61
1,櫻花酒杯,69.68
9,賢者威楓,69.7
14,同有運,70.04
3,展雄威,70.13
7,日日賞,70.3
12,駿美一生,70.36
8,領袖勁力,70.79
5,君子,70.9
