馬匹編號,馬名,平均比標準時間
9,綫路英雄,-0.15
4,國千金,-0.06
2,嘉應奇兵,0.04
10,太子,0.14
6,健康快車,0.21
3,競駿皇者,0.48
8,贏得威楓,0.84
1,南區之星,1.21
