horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,快樂神駒,4.3,4.7,-0.09,4653872.77,2907558.91,1746313.86,1.6,1.7,-0.06,12107190.56,7716875.29,4390315.27
8,川河石駒,3.1,2.9,0.07,6455371.91,4712250.65,1743121.26,1.5,1.3,0.15,12914336.6,10091298.46,2823038.14
11,賢者威楓,4.7,4.6,0.02,4257798.49,2970766.71,1287031.78,1.7,1.6,0.06,11395002.88,8199180.0,3195822.88
1,馬達,8.3,11.0,-0.25,2411042.52,1242320.62,1168721.9,2.2,3.0,-0.27,8805229.5,4372896.0,4432333.5
5,金發盛世,9.9,12.0,-0.17,2021379.08,1138793.91,882585.17,2.6,3.1,-0.16,7450578.81,4231834.84,3218743.97
6,龍威心得,23.0,29.0,-0.21,870071.87,471225.06,398846.81,4.7,6.4,-0.27,4121596.79,2049795.0,2071801.79
3,勇霸龍,7.5,6.0,0.25,2668220.39,2277587.81,390632.58,2.2,1.8,0.22,8805229.5,7288160.0,1517069.5
10,歷勝,40.0,41.0,-0.02,500291.32,333305.53,166985.79,7.0,8.2,-0.15,2767357.84,1599840.0,1167517.84
7,方圓星,46.0,37.0,0.24,435035.93,369338.56,65697.37,9.4,8.2,0.15,2060798.39,1599840.0,460958.39
12,飛越晨曦,127.0,96.0,0.32,157572.07,142349.24,15222.83,22.0,17.0,0.29,880522.95,771687.53,108835.42
