horse_no,horses,win_odds,win_amount,place_odds,place_amount
7,幸運同行,3.6,1509839.15,1.7,2643636.79
4,夢照發,5.8,937141.54,1.9,2365359.24
2,管之友,6.4,849284.52,2.3,1953992.41
9,開心三多,7.2,754919.57,2.4,1872576.06
6,香港精神,10.0,543542.09,2.9,1549718.12
5,古惑大師,12.0,452951.74,3.9,1152354.5
1,富喜來,14.0,388244.35,4.9,917180.11
8,捷足奔馳,16.0,339713.81,4.9,917180.11
11,永勝金駒,17.0,319730.64,5.0,898836.51
10,皇金風速,20.0,271771.05,5.4,832256.03
3,架勢奇爸,26.0,209054.65,6.8,660909.2
12,同寶寶,36.0,150983.91,8.2,548071.04
