馬匹編號,馬名,完成時間
1,嘉應高昇,67.68
2,驕陽明駒,68.16
3,精算暴雪,68.26
4,好友心得,68.54
7,星際快車,68.84
6,幸運有您,68.99
5,美麗第一,69.07
