馬匹編號,馬名,平均比標準時間
3,奔放,-0.68
8,發財先鋒,-0.45
6,火焰閃爍,-0.35
10,豐辰,-0.14
2,話你知,0.0
7,榮駿大道,0.01
4,友瑩光,0.05
1,快路,0.11
5,共享富裕,0.19
9,安帝,0.4
11,勁大威猛,0.62
