馬匹編號,馬名,平均比標準時間
2,凝妙星,-0.39
7,大回報,-0.12
8,天蓬貓,0.04
13,堅多福,0.04
4,好運年,0.08
1,紅衣醒目,0.08
9,隼風雲,0.26
12,威力非凡,0.35
6,家樂寶駒,0.54
3,捷威,0.58
5,萬事勝利,0.62
10,趣盈,0.68
11,堅闖,1.1
