馬匹編號,馬名,平均比標準時間
8,皇金合,0.02
11,東方魅影,0.08
10,機械騎士,0.17
9,幸運傳承,0.35
5,首駿,0.4
1,果然僥倖,0.45
3,萬里雲,0.52
14,紅旺繽紛,0.74
13,工程小子,0.82
4,綫路達飛,0.83
6,魅力知福,0.91
12,發光發亮,0.95
2,飈誌,1.01
