馬匹編號,馬名,平均比標準時間
4,美麗登場,-0.63
7,天火同人,-0.15
11,萬眾開心,-0.01
3,皇者有利,0.03
5,瑤瑤日上,0.21
8,福進,0.45
1,添開心,0.61
9,尚旋,0.89
2,電子好好,0.9
12,妙玲瓏,1.23
