馬場/跑道/賽道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
"沙田草地""C+3""",好,1400,607,20/04/2024,11,君智盛,9,3,6,58.54,58.86,-9.34,24.56,11.11,83.42,1.77,5 6 6 11,仁心星,潮州精神,手機錶霸,賀銘年,潘明輝,3,120,121
沙田全天候,好,1200,644,05/05/2024,10,君智盛,9,3,11,45.86,47.14,47.14,25.77,-42.78,72.91,4.36,9 11 10,福國寶,勝意龍,凱旋時光,賀銘年,潘明輝,3,120,121
"沙田草地""B""",好,1600,792,01/07/2024,05,君智盛,9,3,4,71.92,72.48,2.28,22.72,-1.78,95.2,0.5,4 5 5 5,晴王,和平波,光明傳承,潘明輝,潘明輝,3,118,121
"沙田草地""A""",好,1600,830,14/07/2024,11,君智盛,9,3,7,71.22,71.54,1.34,25.06,0.56,96.6,1.9,2 3 7 11,競駿飛翔,好勁力,星運少爵,潘明輝,潘明輝,3,116,121
"沙田草地""A+3""",好/快,1600,019,15/09/2024,08,君智盛,9,3,8,70.63,70.99,0.59,23.77,-0.73,94.76,-0.14,3 2 2 8,共享富裕,精算特殊,神駒馬靈,梁家俊,潘明輝,4,135,121
"跑馬地草地""C""",好,1650,050,25/09/2024,08,君智盛,9,3,3,75.64,76.36,4.26,24.73,-3.27,101.09,0.99,4 5 6 8,逐步贏,大力猴王,領創動力,梁家俊,潘明輝,4,134,121
"跑馬地草地""B""",好,1650,178,13/11/2024,04,君智盛,9,3,10,75.45,76.41,4.31,23.86,-4.14,100.27,0.17,8 9 9 4,天天得樂,歡喜福星,超勁寶寶,潘明輝,潘明輝,4,129,121
"跑馬地草地""C""",好/黏,1650,196,20/11/2024,03,君智盛,9,3,4,75.78,76.14,4.04,24.43,-3.57,100.57,0.47,3 3 3 3,爆笑,魔法速遞,君智盛,潘明輝,潘明輝,4,133,121
"跑馬地草地""C+3""",好,1650,293,26/12/2024,10,君智盛,9,3,9,75.97,76.17,4.07,24.94,-3.06,101.11,1.01,2 2 2 10,納百川,華美之威,先到先得,潘頓,潘明輝,4,130,121
"跑馬地草地""A""",好,1650,333,08/01/2025,03,君智盛,9,3,3,77.08,77.56,5.46,23.67,-4.33,101.23,1.13,6 7 7 3,風起雲湧,奮鬥輝煌,君智盛,潘明輝,潘明輝,4,129,121
"跑馬地草地""C""",好,1650,372,22/01/2025,08,君智盛,9,3,12,76.12,76.88,4.78,23.78,-4.22,100.66,0.56,9 7 7 8,都靈勇士,爆笑,寶成智星,潘明輝,潘明輝,4,130,121
"跑馬地草地""A""",好,1800,403,05/02/2025,05,君智盛,9,3,5,85.48,85.84,-0.91,24.1,1.2,109.94,0.29,3 4 4 4 5,北海盜,皇仁福星,妙算奇勝,潘明輝,潘明輝,4,129,121
"跑馬地草地""A""",好/快,1650,500,12/03/2025,07,君智盛,9,3,10,75.79,77.11,5.01,23.45,-4.55,100.56,0.46,11 10 10 7,智勇名駒,爆笑,論文,潘明輝,潘明輝,4,124,121
"跑馬地草地""C""",好,1650,616,23/04/2025,04,君智盛,9,3,4,75.29,75.97,3.87,23.85,-4.15,99.82,-0.28,6 6 5 4,天天得樂,綠色好景,滿心星,潘明輝,潘明輝,4,123,121
"沙田草地""A""",好,1600,702,25/05/2025,09,君智盛,9,3,2,70.2,71.16,0.76,23.93,-0.57,95.09,0.19,3 5 7 9,英駿飛駒,精算特殊,凱旋幸運,潘明輝,潘明輝,4,121,121
"跑馬地草地""B""",好/快,1650,749,11/06/2025,01,君智盛,9,3,2,75.9,76.14,4.04,23.55,-4.45,99.69,-0.41,4 4 3 1,君智盛,博愛先鋒,多利神駒,田泰安,潘明輝,4,121,121
"跑馬地草地""A""",好/快,1650,823,09/07/2025,04,君智盛,9,3,8,75.22,75.34,3.24,24.12,-3.88,99.46,-0.64,2 2 2 4,赤馬雄風,勁進駒,川河首駒,田泰安,潘明輝,4,126,121
"跑馬地草地""A""",好/快,1650,099,15/10/2025,07,君智盛,9,3,10,76.75,76.75,4.65,24.11,-3.89,100.86,0.76,8 3 1 7,凡凡有餘,祥勝將軍,榮耀盛甲,潘明輝,潘明輝,4,128,121
"跑馬地草地""C+3""",好/快,1650,154,05/11/2025,07,君智盛,9,3,10,74.76,76.04,3.94,23.51,-4.49,99.55,-0.55,10 10 12 7,相映紅,翠兒威威,活力精神,潘頓,潘明輝,4,130,121
"跑馬地草地""B""",好,1650,195,19/11/2025,08,君智盛,9,3,1,75.89,76.49,4.39,24.16,-3.84,100.65,0.55,4 5 5 8,本領非凡,醒目先駒,青春力量,麥道朗,潘明輝,4,125,121
"跑馬地草地""B""",好,1650,267,17/12/2025,10,君智盛,9,3,2,76.73,77.25,5.15,24.21,-3.79,101.46,1.36,5 7 6 10,加州活力,本領非凡,巴閉佬,杜苑欣,潘明輝,4,123,121
"跑馬地草地""B""",好,1650,348,14/01/2026,04,君智盛,9,3,1,75.46,75.98,3.88,24.51,-3.49,100.49,0.39,4 5 5 4,康昌之星,頌星,加州星皓,潘明輝,潘明輝,4,121,121
